HS_ENGL_GPA,HS_MATH_GPA,GPA_1,UNITS_ATTEMPTED_1,DFW_RATE_1,UNITS_ATTEMPTED_2,GPA_2,DFW_RATE_2,UNITS_ATTEMPTED_3,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,NAME
3.56,3.5,2.4,15,0,16,3.4375,0,13,Asian,Female,Continuing Generation,Sonya
3.59,3.81,1,10,0.7,12,0,1,16,Hispanic/Latino,Female,Continuing Generation,Shay
4.09,3.89,2.076923,13,0.307692,12,3.5,0,14,Hispanic/Latino,Female,Continuing Generation,Grace
4.25,4.01,2.333333,9,0.333333,12,2.5,0.25,12,Hispanic/Latino,Female,Continuing Generation,Nayelli
4.11,3.6,1.833333,13,0.692308,14,2.545455,0.285714,12,White,Female,First Generation,Ingrid
3.88,3.65,1.857143,14,0.428571,15,3,0,15,Hispanic/Latino,Female,First Generation,Yesenia
3.68,3.64,2.4,15,0,15,3,0,13,Hispanic/Latino,Male,Continuing Generation,Joe
4.16,3.72,2.181818,15,0.466667,15,2.8,0.2,14,Black or African American,Male,Unknown,Kadeem
4.02,3.7,2,12,0.25,15,3,0,15,Hispanic/Latino,Male,Continuing Generation,Enrique
3.06,3.1,2.5,13,0.307692,15,2.6,0.2,16,White,Male,Continuing Generation,Zed
