SID,COHORT,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,HS_MATH_GPA,HS_ENGL_GPA,COLLEGE,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_COMPLETED_1,UNITS_COMPLETED_2,GPA_1,GPA_2,SEM_1_STATUS,DFW_RATE_1,DFW_RATE_2,NAME
F4FUQO7MY,Fall 2023,Hispanic/Latino,Female,Continuing Generation,2.43,2.77,Health,16.0,13.0,7.0,6.0,1.5,2.5,C,0.5625,0.5384615384615384,Sophia
DW8XGW712,Fall 2023,Hispanic/Latino,Female,Continuing Generation,3.94,4.13,Science,13.0,12.0,13.0,8.0,2.923076923076923,2.1666666666666665,C,0.0,0.3333333333333333,Emma
PJUFMGA8T,Fall 2023,Hispanic/Latino,Female,First Generation,3.83,3.84,Health,9.0,12.0,3.0,9.0,0.6666666666666666,2.6666666666666665,C,0.6666666666666666,0.25,Olivia
OV3QVTHLQ,Fall 2023,Asian,Male,Continuing Generation,3.91,4.22,Science,13.0,12.0,13.0,12.0,2.230769230769231,2.833333333333333,C,0.0,0.0,Samir
MHMF8Q5BL,Fall 2023,Hispanic/Latino,Male,First Generation,3.02,3.44,University Programs,13.0,17.0,4.0,2.0,1.3,0.75,C,0.6923076923076923,0.8823529411764706,Kai
CZ7XZDRAI,Fall 2023,Hispanic/Latino,Male,First Generation,3.25,3.86,Engineering,14.0,12.0,7.0,8.0,1.4615384615384617,2.083333333333333,C,0.5,0.3333333333333333,Mateo
X9K85N4CJ,Fall 2023,Asian,Male,First Generation,3.39,3.88,Engineering,14.0,11.0,10.0,4.0,1.7142857142857142,1.2727272727272727,C,0.2857142857142857,0.6363636363636364,Aarav
Y0PS792MX,Fall 2023,Hispanic/Latino,Male,Continuing Generation,2.97,3.63,Liberal Arts,16.0,16.0,12.0,16.0,2.2,3.0,C,0.25,0.0,Luca
0TMEXBOOZ,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.52,3.61,Health,13.0,14.0,13.0,14.0,2.5,2.0,C,0.0,0.0,Elijah
2GG1HQ10Q,Fall 2023,Hispanic/Latino,Male,Continuing Generation,3.26,3.36,Business,16.0,15.0,16.0,0.0,3.0,0.0,C,0.0,1.0,James
